Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47605.063,12.563,,4/10/2018,5.048947,-0.3481643,-8.598077,-0.4681468,0.2043667,22.71008,0,,0
47605.125,12.625,,4/10/2018,4.798936,-0.7987881,-8.797971,-0.4681468,0.1565112,22.71008,0,,0
47605.188,12.688,,4/10/2018,4.999096,-1.348592,-8.848325,-0.4681468,0.1080569,22.71008,0,,0
47605.25,12.75,,4/10/2018,5.098798,-1.398182,-8.448539,-0.4681468,0.06437572,22.71008,0,,0
47605.313,12.813,,4/10/2018,5.649428,-0.8483783,-8.04799,-0.4681468,0.01884967,22.71008,0,,0
47605.375,12.875,,4/10/2018,5.848833,-0.9985862,-8.098344,-0.4681468,-0.06510098,22.71008,0,,0
47605.438,12.938,,4/10/2018,5.54897,-1.54839,-8.298238,-0.4681468,-0.1979969,22.71008,0,,0
47605.5,13,,4/10/2018,5.499119,-2.298711,-8.248646,-0.4681468,-0.3524425,22.71008,0,,0
47605.563,13.063,,4/10/2018,5.149405,-2.448201,-8.198291,-0.4681468,-0.4928791,22.71008,0,,0
47605.625,13.125,,4/10/2018,5.048947,-2.898824,-8.448539,-0.4681468,-0.6077534,22.71008,0,,0
47605.688,13.188,,4/10/2018,4.499073,-2.548818,-8.198291,-0.4681468,-0.6853846,22.71008,0,,0
47605.75,13.25,,4/10/2018,4.649382,-2.698308,-7.898451,-0.4681468,-0.7139477,22.71008,0,,0
47605.813,13.313,,4/10/2018,4.749084,-2.648717,-7.848096,-0.4681468,-0.7034394,22.71008,0,,0
47605.875,13.375,,4/10/2018,4.749084,-2.698308,-8.498131,-0.4681468,-0.6798579,22.71008,0,,0
47605.938,13.438,,4/10/2018,5.449268,-3.448629,-8.698024,-0.4681468,-0.6490688,22.71008,0,,0
47606,13.5,,4/10/2018,4.19921,-2.948415,-8.348592,-0.4681468,-0.5889782,22.71008,0,,0
47606.063,13.563,,4/10/2018,4.449222,-2.298711,-8.198291,-0.4681468,-0.4835139,22.71008,0,,0
47606.125,13.625,,4/10/2018,4.649382,-2.548818,-8.098344,-0.4681468,-0.3625593,22.71008,0,,0
47606.188,13.688,,4/10/2018,5.798981,-3.198522,-7.74815,-0.4681468,-0.2378876,22.71008,0,,0
47606.25,13.75,,4/10/2018,5.249107,-2.39861,-7.198062,-0.4681468,-0.1112819,22.71008,0,,0
47606.313,13.813,,4/10/2018,5.649428,-1.848806,-7.398718,-0.4681468,-0.01229505,22.71008,0,,0
47606.375,13.875,,4/10/2018,5.699279,-1.598699,-7.398718,-0.4681468,0.01563988,22.71008,0,,0
47606.438,13.938,,4/10/2018,5.449268,-2.148503,-7.198062,-0.4681468,0.00507544,22.71008,0,,0
47606.5,14,,4/10/2018,4.849542,-2.098195,-7.248417,-0.4681468,-0.005448526,22.71008,0,,0
47606.563,14.063,,4/10/2018,5.199256,-2.448201,-7.298009,-0.4681468,-0.00535174,22.71008,0,,0
47606.625,14.125,,4/10/2018,5.449268,-2.348302,-7.248417,-0.4681468,0.02982149,22.71008,0,,0
47606.688,14.188,,4/10/2018,5.399416,-1.948705,-7.248417,-0.4681468,0.1284832,22.71008,0,,0
47606.75,14.25,,4/10/2018,4.949245,-1.4988,-7.598611,-0.4681468,0.2791451,22.71008,0,,0
47606.813,14.313,,4/10/2018,4.899393,-1.298283,-7.898451,-0.4681468,0.436319,22.71008,0,,0
47606.875,14.375,,4/10/2018,5.249107,-1.348592,-7.948043,-0.4681468,0.5865911,22.71008,0,,0
47606.938,14.438,,4/10/2018,5.048947,-1.148794,-7.848096,-0.4681468,0.7066019,22.71008,0,,0
47607,14.5,,4/10/2018,4.849542,-0.6485802,-7.74815,0.007202258,0.779011,22.30537,0,#5 Event Marker ,1
47607.063,14.563,,4/10/2018,5.298959,-0.6485802,-7.798505,0.007202258,0.7643472,21.49595,0,,0
47607.125,14.625,,4/10/2018,5.499119,-0.4487821,-8.04799,0.007202258,0.6811185,21.49595,0,,0
